1464	Chỉnh hình mũi Silas.	Nose Aug Silas
1465	Chỉnh hình mũi Fascia	Nose Aug Fas
1466	Chỉnh hình mũi Silas + Fascia	Nose Aug Silas + Fas
1467	Cắt cánh mũi	Alar-r
1468	Nạo silicon mũi	Sili Removal
1469	Chỉnh hình mũi môi	Cleft nose-lip
1470	Chỉnh hình mũi môi có lấy sụn vành tai 	Cleft nose-lip Earcarti
1471	Chỉnh hình tiểu trụ	Nose Coll
1472	Bấm mí	Eye Suture
1473	Cắt da thừa mi trên	Upper Eyelid
1474	Cắt da thừa mi dưới	Lower Eyelid
1475	Lấy mỡ mi mắt	Fat Removal
1476	Nâng cung mày	Brow Lift
1477	Căng da trán thái dương.	Mid Facelift and Forehead Lift
1478	Căng da thái dương.	Mid Facelift
1479	Căng da mặt 2/3 dưới.	Lower and Mid Facelift
1480	Căng da mặt toàn phần.	Full Face Lift
1481	Hút mỡ bụng	Tummy Liposuction
1482	Cắt da thừa bụng full	Full Tummy Tuck
1483	Cắt da thừa bụng mini	Mini Tummy Tuck
1484	Chỉnh hình mũi bằng sụn vành tai	Nose Aug Earcarti
1485	Lấy bỏ implant mũi	Implant Removal
1486	Đặt túi ngực	B Aug Implant
1487	Chỉnh hình môi	Lipplasty
1488	Silicon môi	Lip Sili
1489	Căng da trán	Forehead Lift
1490	Hút mỡ cổ	Neck Liposuction
1491	Tạo lúm đồng tiền	Cheek dimple
1492	Chỉnh sẹo, khâu thẩm mỹ	Scar Revision
1493	Hút mỡ bụng để bơm 	Lipo harvesting 
1495	Bơm mỡ trên mắt 	Upper Eye fat injection
1496	Bơm mỡ dưới mắt 	Lower Eye fat injection
1497	Bơm mỡ vào vùng thái dương	Temp fat injection
1498	Bơm mỡ vào rãnh mũi má	N L fat injection
1499	Bơm mỡ vào má	Cheek fat injection
1500	Bơm mỡ vào vùng lõm ở ngực	Deep-set breast fat injection
1501	Bơm mỡ vào vùng lõm ở mông	Deep-set buttock fat injection
1502	Bơm mỡ vào mu bàn tay	Hand fat injection
1503	Bơm mỡ vào ngón tay	Finger fat injection
1504	Bơm mỡ vào sẹo lõm	Scar fat injection
1505	Hút mỡ eo	Waist Liposuction
1506	Hút mỡ đùi	Thigh Liposuction
1507	Thu nhỏ ngực Round Block	Round Block B reduction
1508	Thu nhỏ núm vú 	Nipple R
1509	Bơm mỡ vào mu	Pubis fat injection
1510	Bơm mỡ cằm	Chin fat injection
1511	Bơm mỡ vào môi	Lip fat injection 
1512	Lấy bỏ túi ngực	B Implant Removal
1513	Mổ bao xơ co thắt	Mo bao xo co that
1515	Lấy bỏ implant mũi, chỉnh hình mũi Silas	Implant Removal, Nose Aug Silas
1516	Lấy bỏ implant mũi, chỉnh hình mũi Fascia	Implant Removal, Nose Aug Fas
1517	Lấy bỏ implant mũi, chỉnh hình mũi Silas + Fascia	Implant Removal, Nose Aug Silas + Fas
1520	Thu nhỏ ngực Vertical	Vertical B reduction
1521	Thu nhỏ ngực Anchor	Anchor B reduction
1522	Lấy bỏ túi ngực, thu nhỏ ngực Round Block	B Implant Removal, Round Block B reduction
1523	Chích Botox	Botox injection
1524	Nạo silicon mũi, chỉnh hình mũi Silas + Fascia	Sili Removal, Nose Aug Silas + Fas
1525	Bơm mỡ dưới mắt, má, thái dương	Lower Eye, Cheek, Temp fat injection
1526	Lấy bỏ túi ngực, Mổ bao xơ co thắt, Đặt túi ngực	B Implant Removal, B Aug Implant
1527	Lấy silicon ngực, Đặt túi ngực	Sili Removal, B Aug Implant
1528	Bone Cement	Đắp xương
1529	Chỉnh mũi lệch	Mui lech
1530	Chích Filler	Filler injection
1532	Mổ xoang trán (P)	Mo xoang tran P
1533	Mổ xoang trán (T)	Mo xoang trang T
1534	Bơm mỡ vào vùng lõm trên mặt	Face fat injection
1535	Chỉnh hình vách ngăn	Septum Plasty
1538	Độn cằm	Chin Aug Implant
1539	Lấy bỏ Implant cằm	Chin Implant Removal
1540	Mổ nội soi mũi xoang	FESS
1541	Treo liệt mặt	Lietmat
1542	Nạo Silicon bàn tay	Hand Sili Removal
1543	Hút mỡ để bơm	Hut mo de bom
1544	Cắt bỏ u hắc tố	Melanin Tumour
1545	Mổ u tuyến mang tai 	Tuyen mang tai
1546	Mài xương gồ	Mai xuong go
1547	Chỉnh hình tai vễnh	Tai venh
1548	Điều trị OBAGI	OBAGI
1549	Treo cơ nâng mi (T)	Treo CNM (T)
1550	Treo cơ nâng mi (P)	Treo CNM (P)
1551	U vàng quanh mắt	U vang
1552	Biến chứng	Bien chung
1553	Nâng mũi bằng Aquamid	Nose Aug Aquamid
1554	Hút mỡ má	Cheek Liposuction
1555	Nâng xương chính mũi	Nâng xương chính mũi
1556	Silicon mí dưới	Lower Eye Sili
1558	PRP	PRP
1559	Back silicon	Back silicon
1560	Chỉnh hình mũi bằng sụn sườn	Nose Aug Cost
1562	Rãnh mũi môi	NLF
1563	Cắt bỏ tuyến vú phụ (T)	Cắt bỏ tuyến vú phụ (T)
1564	Cắt bỏ tuyến vú phụ (P)	Cắt bỏ tuyến vú phụ (P)
1565	Lấy bỏ implant mũi, chỉnh hình mũi bằng sụn vành tai	Implant removal, nose aug earcarti
1566	Lấy bỏ implant mũi, bơm mỡ vào mũi	Implant Removal, Nose fat injection
1567	Lấy bỏ Implant mí trên	Upper Eye Implant Removal
1568	Hút mỡ ngực	B Liposuction
1569	Bơm mỡ vào trán	Forehead Fat Injection
1570	Cắt tuyến vú nam	GYNECOMASTIC
1571	Bơm mỡ vào mũi	Nose fat injection
1572	Chỉnh cánh mũi bằng sụn vành tai	Alar-R Aug Earcarti
1573	Độn cằm bằng Aquamid	Chin Aug Aquamid
1574	Nạo silicon, bơm mỡ vào mũi	Sili Removal, Nose fat injection
1575	Chỉnh đầu mũi	Chỉnh đầu mũi
1576	Lấy Implant má	Cheek Implant Removal
1577	Chỉnh cánh mũi	Chinh canh mui
1578	Chỉnh hình mũi Fas+Sụn vành tai	Nose Aug Fas + Earcarti
1579	Chỉnh hình mũi Silas + Sụn vành tai	Nose Aug Silas + Earcarti
1580	Chỉnh hình mũi cấu trúc hiện đại Châu Á	Nose Aug Structural Modern
1581	Chỉnh đầu mũi bằng sụn vành tai	Chỉnh đầu mũi bằng sụn vành tai
1582	Chỉnh cánh mũi bằng sụn vành tai	Chỉnh cánh mũi bằng sụn vành tai
