Bơm mỡ trên mắt 	Upper Eye fat injection
Bơm mỡ dưới mắt 	Lower Eye fat injection
Bơm mỡ vào vùng thái dương	Temp fat injection
Bơm mỡ vào rãnh mũi má	N L fat injection
Bơm mỡ vào má	Cheek fat injection
Bơm mỡ vào vùng lõm ở ngực	Deep-set breast fat injection
Bơm mỡ vào vùng lõm ở mông	Deep-set buttock fat injection
Bơm mỡ vào mu bàn tay	Hand fat injection
Bơm mỡ vào ngón tay	Finger fat injection
Bơm mỡ vào sẹo lõm	Scar fat injection
Bơm mỡ vào mu	Pubis fat injection
Bơm mỡ cằm	Chin fat injection
Bơm mỡ vào môi	Lip fat injection 
Bơm mỡ dưới mắt, má, thái dương	Lower Eye, Cheek, Temp fat injection
Bơm mỡ vào vùng lõm trên mặt	Face fat injection
Bơm mỡ vào trán	Forehead Fat Injection
Bơm mỡ vào mũi	Nose fat injection